sno.,State Code,County Code,Site Num,Date Local,NO2 Units,CO Units,O3 Units,SO2 Units,Address,country,city,state,NO2AQI,COAQI,O3AQI,SO2AQI,AQI,allergy
62,4,13,3002,1/16/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,54,19,31,175,1
63,4,13,3002,1/16/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,54,19,31,175,1
64,4,13,3002,1/17/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,44,13,27,185,1
65,4,13,3002,1/17/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,44,13,27,185,1
66,4,13,3002,1/17/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,44,13,27,185,1
67,4,13,3002,1/17/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,44,13,27,185,1
68,4,13,3002,1/18/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,44,8,33,186,1
69,4,13,3002,1/18/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,55,8,33,197,1
70,4,13,3002,1/18/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,55,8,33,197,1
71,4,13,3002,1/18/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,101,55,8,33,197,1
72,4,13,3002,1/19/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,86,55,11,31,183,1
73,4,13,3002,1/19/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,86,55,11,31,183,1
74,4,13,3002,1/19/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,86,55,11,31,183,1
75,4,13,3002,1/19/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,86,55,11,31,183,1
76,4,13,3002,1/20/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,63,55,14,24,156,1
77,4,13,3002,1/20/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,63,47,14,24,148,1
78,4,13,3002,1/20/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,63,47,14,24,148,1
79,4,13,3002,1/20/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,63,47,14,24,148,1
80,4,13,3002,1/21/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,47,12,24,141,1
81,4,13,3002,1/21/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,40,12,24,134,1
82,4,13,3002,1/21/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,40,12,24,134,1
83,4,13,3002,1/21/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,40,12,24,134,1
84,4,13,3002,1/22/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,62,40,17,20,139,1
85,4,13,3002,1/22/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,62,43,17,20,142,1
86,4,13,3002,1/22/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,62,43,17,20,142,1
87,4,13,3002,1/22/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,62,43,17,20,142,1
88,4,13,3002,1/23/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,64,43,31,20,158,1
89,4,13,3002,1/23/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,64,45,31,20,160,1
90,4,13,3002,1/23/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,64,45,31,20,160,1
91,4,13,3002,1/23/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,64,45,31,20,160,1
92,4,13,3002,1/24/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,76,38,19,26,159,1
93,4,13,3002,1/24/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,76,38,19,26,159,1
94,4,13,3002,1/24/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,76,38,19,26,159,1
95,4,13,3002,1/24/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,76,38,19,26,159,1
96,4,13,3002,1/25/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,56,33,17,16,122,0
97,4,13,3002,1/25/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,56,33,17,16,122,0
98,4,13,3002,1/25/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,56,33,17,16,122,0
99,4,13,3002,1/25/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,56,33,17,16,122,0
100,4,13,3002,1/26/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,40,16,30,10,96,0
101,4,13,3002,1/26/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,40,16,30,10,96,0
102,4,13,3002,1/26/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,40,16,30,10,96,0
